,loss,precision_1,binary_accuracy,recall_1,balanced_accuracy,val_loss,val_precision_1,val_binary_accuracy,val_recall_1,val_balanced_accuracy
0,0.46960151195526123,0.9260400533676147,0.922084629535675,0.9194288849830627,0.9238663911819458,0.41218438744544983,0.9671772718429565,0.9474226832389832,0.9246861934661865,0.9473084211349487
1,0.41573938727378845,0.9434738159179688,0.9393705129623413,0.936257004737854,0.9402464628219604,0.38169440627098083,0.9800000190734863,0.9525772929191589,0.9225941300392151,0.9524163007736206
2,0.3763265907764435,0.9564772248268127,0.95407634973526,0.9525752067565918,0.9533823728561401,0.3617519438266754,0.9682875275611877,0.9639175534248352,0.9581589698791504,0.9631219506263733
3,0.3519914448261261,0.9646516442298889,0.9620742797851562,0.9602243900299072,0.9623556733131409,0.35792750120162964,0.9433198571205139,0.9587628841400146,0.9748954176902771,0.9581224322319031
4,0.34324246644973755,0.9638860821723938,0.964654266834259,0.9663437008857727,0.964099109172821,0.3430892825126648,0.9723991751670837,0.9659793972969055,0.9581589698791504,0.9652266502380371
5,0.33573752641677856,0.9733333587646484,0.9703302383422852,0.9678735136985779,0.9709974527359009,0.3393703103065491,0.9644351601600647,0.9649484753608704,0.9644351601600647,0.9644393920898438
6,0.324970543384552,0.9743852615356445,0.9718782305717468,0.9699133038520813,0.9721658229827881,0.33953410387039185,0.9685534834861755,0.9680412411689758,0.9665272235870361,0.9683586359024048
7,0.31404516100883484,0.9759958982467651,0.9749742150306702,0.9745028018951416,0.9755212068557739,0.3557223379611969,0.9867256879806519,0.960824728012085,0.9330543875694275,0.9601980447769165
8,0.3136689364910126,0.9768993854522705,0.9734262228012085,0.9704232811927795,0.9729635119438171,0.3408547639846802,0.9870129823684692,0.9711340069770813,0.9539749026298523,0.9694920778274536
9,0.3043341636657715,0.9825640916824341,0.9796181917190552,0.9770525097846985,0.9795546531677246,0.3307795822620392,0.9765957593917847,0.969072163105011,0.9602510333061218,0.9672719836235046
10,0.29904839396476746,0.9816045165061951,0.9803921580314636,0.9796022176742554,0.9810646176338196,0.3292250633239746,0.9848812222480774,0.9701030850410461,0.9539749026298523,0.9693484902381897
11,0.29206883907318115,0.9825551509857178,0.9793601632118225,0.976542592048645,0.9777374863624573,0.32491233944892883,0.9645093679428101,0.9659793972969055,0.9665272235870361,0.966041088104248
12,0.2854858636856079,0.9842239022254944,0.9850361347198486,0.9862315058708191,0.984533965587616,0.3169482350349426,0.9870689511299133,0.9731958508491516,0.9581589698791504,0.9730690717697144
13,0.2769871652126312,0.9872578978538513,0.9873580932617188,0.9877613186836243,0.9874577522277832,0.31380635499954224,0.9766454100608826,0.9701030850410461,0.9623430967330933,0.9690041542053223
14,0.2815934121608734,0.9826264977455139,0.9814241528511047,0.9806221127510071,0.9812527298927307,0.3198305666446686,0.9830148816108704,0.9762886762619019,0.9686192274093628,0.9745432734489441
15,0.27405354380607605,0.9872708916664124,0.9878740906715393,0.988781213760376,0.9880742430686951,0.3178637623786926,0.9891067743301392,0.9701030850410461,0.9497907757759094,0.9701422452926636
