,loss,precision,binary_accuracy,recall,balanced_accuracy,val_loss,val_precision,val_binary_accuracy,val_recall,val_balanced_accuracy
0,0.5974006652832031,0.7867332100868225,0.7658717036247253,0.7348434329032898,0.673782229423523,0.58133864402771,0.6595091819763184,0.7175257802009583,0.8921161890029907,0.7335416078567505
1,0.4790618419647217,0.8189563155174255,0.8008255958557129,0.7807106375694275,0.8002124428749084,0.4874967634677887,0.7727272510528564,0.7752577066421509,0.7759336233139038,0.7858932614326477
2,0.38183116912841797,0.8961455821990967,0.8735809922218323,0.8497461676597595,0.877027153968811,0.43438151478767395,0.853210985660553,0.8206185698509216,0.771784245967865,0.8180316090583801
3,0.3085158169269562,0.9402984976768494,0.9179566502571106,0.8954314589500427,0.9191256761550903,0.4056651294231415,0.8396624326705933,0.8350515365600586,0.8257261514663696,0.8331505656242371
4,0.26025092601776123,0.947753369808197,0.9339525103569031,0.92081218957901,0.934857189655304,0.3824803829193115,0.8687782883644104,0.839175283908844,0.7966805100440979,0.8371659517288208
5,0.22194597125053406,0.9595854878425598,0.9494324326515198,0.9401015043258667,0.9483349323272705,0.38038045167922974,0.8396624326705933,0.8350515365600586,0.8257261514663696,0.8322224020957947
6,0.1842353641986847,0.9711934328079224,0.9643962979316711,0.9583756327629089,0.9647539854049683,0.38037145137786865,0.8412017226219177,0.830927848815918,0.8132780194282532,0.8288343548774719
7,0.15415605902671814,0.9814241528511047,0.9731681942939758,0.965482234954834,0.972651481628418,0.37711793184280396,0.8240000009536743,0.8371133804321289,0.8547717928886414,0.835599422454834
8,0.13282522559165955,0.9826176166534424,0.978844165802002,0.9756345152854919,0.9781098961830139,0.3723006546497345,0.829365074634552,0.8453608155250549,0.8672199249267578,0.8529227375984192
9,0.11764650046825409,0.9846625924110413,0.9809081554412842,0.9776649475097656,0.9815933704376221,0.3750145435333252,0.8577777743339539,0.8350515365600586,0.8008298873901367,0.8352086544036865
10,0.09953728318214417,0.9887869358062744,0.9865841269493103,0.9847715497016907,0.9862739443778992,0.37816286087036133,0.8382978439331055,0.830927848815918,0.817427396774292,0.829658031463623
11,0.08836203068494797,0.9888324737548828,0.9886481165885925,0.9888324737548828,0.9886776208877563,0.3771294951438904,0.829959511756897,0.839175283908844,0.8506224155426025,0.8473568558692932
12,0.07922443002462387,0.9918450713157654,0.9896801114082336,0.9878172874450684,0.9898054003715515,0.38338205218315125,0.8353909254074097,0.839175283908844,0.8423236608505249,0.8357954025268555
13,0.07114183157682419,0.994908332824707,0.9932920336723328,0.9918781518936157,0.9935842156410217,0.39837637543678284,0.823293149471283,0.8350515365600586,0.8506224155426025,0.8313604593276978
14,0.0673968642950058,0.9949135184288025,0.9938080310821533,0.992893397808075,0.993412435054779,0.3952348530292511,0.8240000009536743,0.8371133804321289,0.8547717928886414,0.833983302116394
15,0.05914817750453949,0.9969419240951538,0.9948400259017944,0.992893397808075,0.9948315024375916,0.4011228382587433,0.8458333611488342,0.8453608155250549,0.8423236608505249,0.8517841696739197
16,0.0547180101275444,0.9969512224197388,0.9963880181312561,0.9959390759468079,0.9964578151702881,0.407675176858902,0.8559321761131287,0.8494845628738403,0.8381742835044861,0.8570879101753235
17,0.05041469261050224,0.997965395450592,0.9969040155410767,0.9959390759468079,0.996719479560852,0.41025394201278687,0.823293149471283,0.8350515365600586,0.8506224155426025,0.842994749546051
18,0.04698136821389198,0.997965395450592,0.9969040155410767,0.9959390759468079,0.9971874356269836,0.42169761657714844,0.849372386932373,0.8474226593971252,0.8423236608505249,0.8542683720588684
19,0.043592311441898346,0.997965395450592,0.9969040155410767,0.9959390759468079,0.9970875978469849,0.42570215463638306,0.852320671081543,0.8474226593971252,0.8381742835044861,0.8548557758331299
20,0.04075048863887787,0.997965395450592,0.9969040155410767,0.9959390759468079,0.9973514676094055,0.4319347143173218,0.852320671081543,0.8474226593971252,0.8381742835044861,0.8548557758331299
21,0.03836599364876747,0.997965395450592,0.9969040155410767,0.9959390759468079,0.9970227479934692,0.4391249716281891,0.852320671081543,0.8474226593971252,0.8381742835044861,0.8548557758331299
22,0.03619003668427467,0.997965395450592,0.9969040155410767,0.9959390759468079,0.9967554807662964,0.43969541788101196,0.8481012582778931,0.8432989716529846,0.8340249061584473,0.8503686189651489
23,0.034209586679935455,0.997965395450592,0.9969040155410767,0.9959390759468079,0.9968742728233337,0.4473799169063568,0.852320671081543,0.8474226593971252,0.8381742835044861,0.8548557758331299
24,0.03257554769515991,0.997965395450592,0.9969040155410767,0.9959390759468079,0.9958136081695557,0.45111778378486633,0.8451882600784302,0.8432989716529846,0.8381742835044861,0.8502197861671448
25,0.03071572631597519,0.9979674816131592,0.9974200129508972,0.9969543218612671,0.9974687099456787,0.4581989347934723,0.8423236608505249,0.8432989716529846,0.8423236608505249,0.849723756313324
26,0.02917584218084812,0.9979674816131592,0.9974200129508972,0.9969543218612671,0.9976660013198853,0.460027813911438,0.8464730381965637,0.8474226593971252,0.8464730381965637,0.8541880249977112
27,0.02783568762242794,0.9989827275276184,0.9979360103607178,0.9969543218612671,0.9979507923126221,0.4712885022163391,0.852320671081543,0.8474226593971252,0.8381742835044861,0.8548557758331299
28,0.026491450145840645,0.9989827275276184,0.9979360103607178,0.9969543218612671,0.997962236404419,0.47029510140419006,0.8423236608505249,0.8432989716529846,0.8423236608505249,0.8508894443511963
29,0.025473259389400482,0.9989837408065796,0.9984520077705383,0.9979695677757263,0.9985907673835754,0.4749358892440796,0.8451882600784302,0.8432989716529846,0.8381742835044861,0.8502197861671448
30,0.02441229671239853,0.9989837408065796,0.9984520077705383,0.9979695677757263,0.9986550211906433,0.4867737889289856,0.848739504814148,0.8453608155250549,0.8381742835044861,0.8526236414909363
31,0.02342655323445797,0.9989837408065796,0.9984520077705383,0.9979695677757263,0.9984955191612244,0.485800176858902,0.8451882600784302,0.8432989716529846,0.8381742835044861,0.8502197861671448
32,0.022581035271286964,0.9989837408065796,0.9984520077705383,0.9979695677757263,0.9985234141349792,0.4929431080818176,0.8451882600784302,0.8432989716529846,0.8381742835044861,0.8502197861671448
33,0.02168973721563816,0.9989837408065796,0.9984520077705383,0.9979695677757263,0.9987406730651855,0.49918270111083984,0.848739504814148,0.8453608155250549,0.8381742835044861,0.8526236414909363
34,0.020891942083835602,0.9989837408065796,0.9984520077705383,0.9979695677757263,0.9987406134605408,0.5008785128593445,0.8451882600784302,0.8432989716529846,0.8381742835044861,0.8502197861671448
35,0.020152118057012558,0.9989837408065796,0.9984520077705383,0.9979695677757263,0.9984249472618103,0.5057336688041687,0.8451882600784302,0.8432989716529846,0.8381742835044861,0.8502197861671448
36,0.01942613534629345,1.0,0.9989680051803589,0.9979695677757263,0.998975396156311,0.514553964138031,0.848739504814148,0.8453608155250549,0.8381742835044861,0.8526236414909363
37,0.018710920587182045,1.0,0.9989680051803589,0.9979695677757263,0.9990055561065674,0.5134034156799316,0.8408163189888,0.8474226593971252,0.8547717928886414,0.8539912700653076
38,0.018062449991703033,1.0,0.9989680051803589,0.9979695677757263,0.9991347789764404,0.5216528177261353,0.8451882600784302,0.8432989716529846,0.8381742835044861,0.8502197861671448
39,0.017458254471421242,1.0,0.9989680051803589,0.9979695677757263,0.9988645315170288,0.5253487229347229,0.8451882600784302,0.8432989716529846,0.8381742835044861,0.8502197861671448
40,0.016899634152650833,1.0,0.9989680051803589,0.9979695677757263,0.9990357160568237,0.531682550907135,0.8451882600784302,0.8432989716529846,0.8381742835044861,0.8503915071487427
41,0.01636851392686367,1.0,0.9989680051803589,0.9979695677757263,0.9990055561065674,0.5369526743888855,0.848739504814148,0.8453608155250549,0.8381742835044861,0.8526236414909363
42,0.01583884470164776,1.0,0.9989680051803589,0.9979695677757263,0.9991371631622314,0.5435912609100342,0.8481012582778931,0.8432989716529846,0.8340249061584473,0.8505403399467468
43,0.015391981229186058,1.0,0.9989680051803589,0.9979695677757263,0.9989380836486816,0.546329915523529,0.848739504814148,0.8453608155250549,0.8381742835044861,0.8526236414909363
44,0.01496974378824234,1.0,0.9989680051803589,0.9979695677757263,0.9990437030792236,0.5449264645576477,0.8429751992225647,0.8453608155250549,0.8464730381965637,0.852403998374939
45,0.01455664448440075,1.0,0.9989680051803589,0.9979695677757263,0.9989714026451111,0.554699182510376,0.8481012582778931,0.8432989716529846,0.8340249061584473,0.8505403399467468
46,0.01413306500762701,1.0,0.9989680051803589,0.9979695677757263,0.9989323616027832,0.554988443851471,0.8388429880142212,0.8412371277809143,0.8423236608505249,0.8480699062347412
47,0.01376743521541357,1.0,0.9989680051803589,0.9979695677757263,0.9989141225814819,0.5665009021759033,0.8481012582778931,0.8432989716529846,0.8340249061584473,0.8505403399467468
48,0.013413971289992332,1.0,0.9989680051803589,0.9979695677757263,0.9987726807594299,0.5667542219161987,0.8481012582778931,0.8432989716529846,0.8340249061584473,0.8505403399467468
