,loss,precision,binary_accuracy,recall,val_loss,val_precision,val_binary_accuracy,val_recall
26,0.10506837069988251,0.9729729890823364,0.9593495726585388,0.9599999785423279,2.2624998092651367,0.6842105388641357,0.5806451439857483,0.6499999761581421
27,0.08884518593549728,0.9864864945411682,0.9756097793579102,0.9733333587646484,2.6991031169891357,0.761904776096344,0.7096773982048035,0.800000011920929
28,0.07295089215040207,0.9866666793823242,0.9837398529052734,0.9866666793823242,3.09165620803833,0.761904776096344,0.7096773982048035,0.800000011920929
29,0.055719196796417236,1.0,1.0,1.0,3.012385606765747,0.75,0.6774193644523621,0.75
30,0.04244588688015938,1.0,1.0,1.0,3.0940113067626953,0.7142857313156128,0.6451612710952759,0.75
31,0.035908836871385574,1.0,0.9918699264526367,0.9866666793823242,3.328578233718872,0.7142857313156128,0.6451612710952759,0.75
32,0.023441752418875694,1.0,1.0,1.0,3.5903239250183105,0.761904776096344,0.7096773982048035,0.800000011920929
33,0.017731601372361183,1.0,1.0,1.0,3.7021803855895996,0.75,0.6774193644523621,0.75
34,0.0123114213347435,1.0,1.0,1.0,3.7895967960357666,0.75,0.6774193644523621,0.75
35,0.008560548536479473,1.0,1.0,1.0,3.8512117862701416,0.75,0.6774193644523621,0.75
36,0.006044646725058556,1.0,1.0,1.0,3.857139825820923,0.75,0.6774193644523621,0.75
37,0.0044877417385578156,1.0,1.0,1.0,3.922914981842041,0.75,0.6774193644523621,0.75
38,0.003532296046614647,1.0,1.0,1.0,3.990415096282959,0.7894737124443054,0.7096773982048035,0.75
39,0.0025277636013925076,1.0,1.0,1.0,4.054447650909424,0.7894737124443054,0.7096773982048035,0.75
40,0.001919418340548873,1.0,1.0,1.0,4.103122234344482,0.7894737124443054,0.7096773982048035,0.75
41,0.001508699613623321,1.0,1.0,1.0,4.1567559242248535,0.7894737124443054,0.7096773982048035,0.75
42,0.0011502420529723167,1.0,1.0,1.0,4.19647216796875,0.7894737124443054,0.7096773982048035,0.75
43,0.000940804195124656,1.0,1.0,1.0,4.244409084320068,0.7894737124443054,0.7096773982048035,0.75
44,0.0007896925089880824,1.0,1.0,1.0,4.295897006988525,0.7894737124443054,0.7096773982048035,0.75
45,0.0006682210951112211,1.0,1.0,1.0,4.336762428283691,0.7894737124443054,0.7096773982048035,0.75
46,0.0005816729390062392,1.0,1.0,1.0,4.3719916343688965,0.7894737124443054,0.7096773982048035,0.75
