,loss,precision_1,binary_accuracy,recall_1,balanced_accuracy,val_loss,val_precision_1,val_binary_accuracy,val_recall_1,val_balanced_accuracy
0,0.6833993196487427,0.7333333492279053,0.6970103979110718,0.6245824694633484,0.5626369714736938,0.6834138035774231,0.5384615659713745,0.5608247518539429,0.9142857193946838,0.5659756660461426
1,0.6281446218490601,0.6721649765968323,0.6754385828971863,0.6770508885383606,0.6779518723487854,0.5503829717636108,0.7449392676353455,0.7443298697471619,0.7510204315185547,0.750279426574707
2,0.47129616141319275,0.8202653527259827,0.7770897746086121,0.7061266899108887,0.7818517088890076,0.44008415937423706,0.7854406237602234,0.8020618557929993,0.8367347121238708,0.8097890615463257
3,0.33864709734916687,0.8851351141929626,0.8560371398925781,0.8161993622779846,0.8563287258148193,0.24417631328105927,0.8853754997253418,0.8969072103500366,0.9142857193946838,0.8870283961296082
4,0.24492837488651276,0.914621114730835,0.9040247797966003,0.889927327632904,0.9057789444923401,0.21454915404319763,0.8935361504554749,0.9216494560241699,0.9591836929321289,0.9098393321037292
5,0.16367845237255096,0.9402515888214111,0.9365324974060059,0.9314641952514648,0.9372427463531494,0.15885940194129944,0.9288537502288818,0.9422680139541626,0.9591836929321289,0.9297841191291809
6,0.12844368815422058,0.9496327638626099,0.9453044533729553,0.9397715330123901,0.9458684325218201,0.12854865193367004,0.9402390718460083,0.9505154490470886,0.9632652997970581,0.9381722807884216
7,0.09684651345014572,0.9736564755439758,0.9669762849807739,0.9595015645027161,0.9687941074371338,0.10828324407339096,0.9409449100494385,0.9567010402679443,0.9755101799964905,0.9450589418411255
8,0.09058885276317596,0.9685863852500916,0.9649122953414917,0.9605399966239929,0.9664461016654968,0.15485388040542603,0.931174099445343,0.9340206384658813,0.9387755393981934,0.9207468628883362
9,0.06649813055992126,0.9832460880279541,0.9793601632118225,0.9750778675079346,0.9800158143043518,0.09776569902896881,0.9561753273010254,0.9670103192329407,0.9795918464660645,0.954883337020874
10,0.046693749725818634,0.9884937405586243,0.9850361347198486,0.9813084006309509,0.9838166832923889,0.1379973441362381,0.9448819160461426,0.960824728012085,0.9795918464660645,0.9495105147361755
11,0.028324715793132782,0.9937369227409363,0.9912280440330505,0.9885773658752441,0.9916880130767822,0.17529384791851044,0.9402390718460083,0.9505154490470886,0.9632652997970581,0.9380989670753479
12,0.014790359884500504,0.9979122877120972,0.995356023311615,0.9927310347557068,0.9955562353134155,0.09889420121908188,0.9678714871406555,0.9752577543258667,0.9836734533309937,0.9616202116012573
13,0.013357449322938919,0.9968814849853516,0.9963880181312561,0.9958463311195374,0.9965527057647705,0.12658849358558655,0.9641434550285339,0.9752577543258667,0.9877551198005676,0.9627264738082886
14,0.020547254011034966,0.9886481165885925,0.9917440414428711,0.9948078989982605,0.9918045401573181,0.09855853021144867,0.9789029359817505,0.9628865718841553,0.9469387531280518,0.94921875
15,0.019939487800002098,0.9958289861679077,0.9938080310821533,0.9916926026344299,0.9941331744194031,0.4746483862400055,0.8225256204605103,0.88453608751297,0.9836734533309937,0.8770805597305298
16,0.03141363710165024,0.98860102891922,0.9896801114082336,0.9906542301177979,0.9892395734786987,0.12366858869791031,0.9561753273010254,0.9670103192329407,0.9795918464660645,0.9535799026489258
17,0.008934316225349903,0.9968879818916321,0.9974200129508972,0.9979231357574463,0.9975723028182983,0.12970229983329773,0.9595141410827637,0.9628865718841553,0.9673469662666321,0.9502179622650146
18,0.03421493619680405,0.9926854968070984,0.9896801114082336,0.9865005016326904,0.988379955291748,0.10541512072086334,0.9673469662666321,0.9670103192329407,0.9673469662666321,0.9543676376342773
19,0.01282958872616291,0.9958463311195374,0.9958720207214355,0.9958463311195374,0.9961028695106506,0.11326063424348831,0.9715447425842285,0.9731958508491516,0.9755101799964905,0.9595181941986084
20,0.003515960182994604,1.0,0.9994840025901794,0.9989615678787231,0.9994145631790161,0.12653698027133942,0.9751037359237671,0.9670103192329407,0.9591836929321289,0.9532891511917114
21,0.0028143846429884434,0.9989626407623291,0.9994840025901794,1.0,0.9994145631790161,0.11691851913928986,0.9714285731315613,0.9711340069770813,0.9714285731315613,0.9571143388748169
22,0.0037171952426433563,0.9979252815246582,0.9984520077705383,0.9989615678787231,0.998352587223053,0.1255079060792923,0.9791666865348816,0.969072163105011,0.9591836929321289,0.9554063677787781
23,0.017270561307668686,0.9947807788848877,0.9922600388526917,0.989615797996521,0.9924329519271851,0.15548394620418549,0.9457364082336426,0.969072163105011,0.9959183931350708,0.9551730751991272
24,0.0056029255501925945,0.9979231357574463,0.9979360103607178,0.9979231357574463,0.9977686405181885,0.13423112034797668,0.9714285731315613,0.9711340069770813,0.9714285731315613,0.9575837254524231
25,0.0017471546307206154,1.0,1.0,1.0,1.0,0.1134757250547409,0.9676113128662109,0.9711340069770813,0.9755101799964905,0.9570180773735046
26,0.0011703228810802102,1.0,1.0,1.0,1.0,0.11872810125350952,0.9714285731315613,0.9711340069770813,0.9714285731315613,0.9571143388748169
27,0.0006660537328571081,1.0,1.0,1.0,1.0,0.11765572428703308,0.9754098653793335,0.9731958508491516,0.9714285731315613,0.9589526057243347
28,0.0005534271476790309,1.0,1.0,1.0,1.0,0.1298980861902237,0.9715447425842285,0.9731958508491516,0.9755101799964905,0.9595181941986084
29,0.0003178710176143795,1.0,1.0,1.0,1.0,0.13022686541080475,0.9714285731315613,0.9711340069770813,0.9714285731315613,0.9571143388748169
30,0.0002690447145141661,1.0,1.0,1.0,1.0,0.13299967348575592,0.9714285731315613,0.9711340069770813,0.9714285731315613,0.9571143388748169
31,0.00020240484445821494,1.0,1.0,1.0,1.0,0.1318432092666626,0.9714285731315613,0.9711340069770813,0.9714285731315613,0.9571143388748169
32,0.00027374812634661794,1.0,1.0,1.0,1.0,0.13509444892406464,0.9714285731315613,0.9711340069770813,0.9714285731315613,0.9571143388748169
33,0.00104363146238029,1.0,1.0,1.0,1.0,0.1453109234571457,0.9715447425842285,0.9731958508491516,0.9755101799964905,0.9595181941986084
34,0.0002136228431481868,1.0,1.0,1.0,1.0,0.1325586885213852,0.9715447425842285,0.9731958508491516,0.9755101799964905,0.9595181941986084
35,0.0001032252621371299,1.0,1.0,1.0,1.0,0.13985179364681244,0.9714285731315613,0.9711340069770813,0.9714285731315613,0.9571143388748169
36,0.00010356966959079728,1.0,1.0,1.0,1.0,0.13800105452537537,0.9714285731315613,0.9711340069770813,0.9714285731315613,0.9571143388748169
37,0.00014884938718751073,1.0,1.0,1.0,1.0,0.17355675995349884,0.9601593613624573,0.9711340069770813,0.9836734533309937,0.9569894671440125
38,0.0001035966633935459,1.0,1.0,1.0,1.0,0.15764562785625458,0.9601593613624573,0.9711340069770813,0.9836734533309937,0.9569894671440125
39,0.00010221233969787136,1.0,1.0,1.0,1.0,0.1475008875131607,0.9638554453849792,0.9711340069770813,0.9795918464660645,0.9572345614433289
40,6.915847188793123e-05,1.0,1.0,1.0,1.0,0.1433623880147934,0.9638554453849792,0.9711340069770813,0.9795918464660645,0.9572345614433289
