,loss,precision,binary_accuracy,recall,sensitivity,specificity,balanced_acc,val_loss,val_precision,val_binary_accuracy,val_recall,val_sensitivity,val_specificity,val_balanced_acc
0,0.7669553756713867,0.6050955653190613,0.5714285969734192,0.8333333134651184,0.75,0.25,0.5,0.6814977526664734,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
1,0.7160459160804749,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.655019223690033,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
2,0.6854414939880371,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.6915620565414429,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
3,0.6934974193572998,0.5762711763381958,0.47154471278190613,0.45945945382118225,0.5,0.5,0.5,0.6833179593086243,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
4,0.6821801662445068,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.6567959189414978,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
5,0.6713631749153137,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.6505210399627686,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
6,0.6802830696105957,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.6507452726364136,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
7,0.6781651377677917,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.6515621542930603,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
8,0.6720803380012512,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.6557849645614624,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
9,0.672111988067627,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.6583600640296936,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
10,0.6732013821601868,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.659271776676178,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
11,0.6748160123825073,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.6596556901931763,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
12,0.6724643111228943,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.6552979350090027,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
13,0.6744230389595032,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.6510486006736755,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
14,0.6740214228630066,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.6513262987136841,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
15,0.6727050542831421,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.6540509462356567,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
16,0.6719719767570496,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.6572524905204773,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
17,0.6761488318443298,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.6618236303329468,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
18,0.6771469712257385,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.6533998847007751,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
19,0.6743505001068115,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.6520516872406006,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
20,0.6732410192489624,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.6548507809638977,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
21,0.6724625825881958,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.6558846831321716,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
22,0.6728217005729675,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.6559450626373291,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
23,0.6728859543800354,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.6553596258163452,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
24,0.6729623079299927,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.6535871028900146,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
25,0.6726188063621521,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.6532856822013855,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
26,0.6731456518173218,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.6537874937057495,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
27,0.6732335686683655,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.6542827486991882,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
28,0.6759220361709595,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.6565239429473877,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
29,0.672788679599762,0.6016260385513306,0.6016260385513306,1.0,1.0,0.0,0.5,0.6519849300384521,0.6451612710952759,0.6451612710952759,1.0,1.0,0.0,0.5
